Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Login API Request,1200,298,283,581,"21,06","0,000%","63,09812","54,93","14,59","891,5"
Total,1200,298,283,581,"21,06","0,000%","63,09812","54,93","14,59","891,5"
